"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Mancherial","epi",5,1.5,50.4,6.7,1.4,66.9,0
"Mancherial","hrt",7.2,2,72,7.7,1.6,77.3,0.003736
"Mancherial","jau",3.8,1.5,38.5,7.3,1.5,72.7,0
"Mancherial","lscs",7.7,1.9,77,8.3,1.7,82.8,0.001567
"Mancherial","sob",6.4,1.5,64,7.1,1.3,71.1,1e-06
"Mancherial","tb",5.5,1.9,55.4,6.1,1.7,61.1,0.002168
"Medchal Malkajgiri","epi",5.2,1.6,51.7,5.5,1.6,54.9,0.032505
"Medchal Malkajgiri","hrt",6.9,2.1,69.4,7.5,1.9,74.6,0.005003
"Medchal Malkajgiri","jau",4.1,1.5,40.9,5.8,1.6,58.5,0
"Medchal Malkajgiri","lscs",7.5,2,75,7.9,2,78.7,0.043696
"Medchal Malkajgiri","sob",6,1.6,60.5,6.5,1.6,64.7,0.002898
"Medchal Malkajgiri","tb",5.3,1.8,52.7,6,1.8,59.8,2e-05
"Mulugu","epi",4.9,1.5,49.4,5.9,1.9,58.8,8e-05
"Mulugu","hrt",6.6,2.2,66.2,6.9,2,69.1,0.343121
"Mulugu","jau",3.8,1.4,38,5.4,1.5,53.9,0
"Mulugu","lscs",8,2.1,79.5,7.9,2,79,0.878954
"Mulugu","sob",6,1.4,59.9,6.2,1.4,62,0.315141
"Mulugu","tb",5.4,1.5,53.7,5.8,1.5,58.2,0.036865
"Nagarkurnool","epi",4.5,1.9,44.7,5.3,1.7,53.1,0.02967
"Nagarkurnool","hrt",6.5,2.4,65.3,7.4,1.7,74.2,0.04422
"Nagarkurnool","jau",3.9,1.6,39.1,5.1,2.2,50.9,0.005126
"Nagarkurnool","lscs",7.2,2.5,71.8,7.9,2.1,78.7,0.157373
"Nagarkurnool","sob",5.6,2,55.6,6.2,1.7,61.6,0.123775
"Nagarkurnool","tb",5,2.3,50,5.7,2.1,56.7,0.153244
"Nalgonda","epi",5.1,1.7,50.9,6.1,1.7,60.9,0
"Nalgonda","hrt",7.3,2,72.9,7.7,1.8,77.4,0.001061
"Nalgonda","jau",4,1.5,40.3,7.3,1.5,73.4,0
"Nalgonda","lscs",7.5,2,74.7,8.2,1.7,82.3,0
"Nalgonda","sob",6.4,1.5,63.9,7.2,1.5,71.5,0
"Nalgonda","tb",5.6,1.9,55.7,6.4,1.8,63.8,0
"Narayanpet","epi",4.8,1.5,48,6.3,1.5,63.4,0
"Narayanpet","hrt",6.8,2,68.2,7.3,1.7,73.2,0.073984
"Narayanpet","jau",3.6,1.5,35.6,7,1.4,69.9,0
"Narayanpet","lscs",7.4,2.1,73.8,8.2,1.8,81.6,0.009104
"Narayanpet","sob",6.2,1.7,62.4,7,1.7,70.5,0.002125
"Narayanpet","tb",4.6,1.8,46.3,6.1,1.8,60.6,0
"Nirmal","epi",5.1,1.5,50.9,5.1,1.6,50.9,1
"Nirmal","hrt",7.4,1.6,74,7.5,1.6,75.1,0.652797
"Nirmal","jau",4,1.7,40.1,5.7,1.7,57,0
"Nirmal","lscs",7.9,1.5,79.2,7.9,1.7,79.5,0.925497
"Nirmal","sob",4.5,1.3,44.9,4.8,1.3,48.2,0.093343
"Nirmal","tb",5.8,1.8,57.7,6.3,1.7,63,0.040128
"Nizamabad","epi",5.1,1.7,50.9,5.6,1.8,56.5,0.000181
"Nizamabad","hrt",7.7,1.6,77.4,7.9,1.5,78.5,0.447601
"Nizamabad","jau",4.7,1.7,46.7,7.4,1.6,73.8,0
"Nizamabad","lscs",7.6,1.7,76.5,8,1.7,80.2,0.00965
"Nizamabad","sob",6.6,1.4,66.3,7.5,1.1,74.6,0
"Nizamabad","tb",6,1.7,59.7,6.6,1.7,66.1,9.1e-05
"Peddapalli","epi",4.9,1.7,48.6,5.7,1.6,57.5,3e-06
"Peddapalli","hrt",6.6,2,66.5,7.1,1.9,71.3,0.034136
"Peddapalli","jau",4.3,1.6,43,6.5,1.8,64.9,0
"Peddapalli","lscs",7.5,1.9,75.3,7.7,2.1,77.3,0.390465
"Peddapalli","sob",4.3,1.3,42.9,4.6,1.3,45.9,0.050365
"Peddapalli","tb",5.1,2.1,50.5,5.9,2.1,58.7,0.000894
"Rajanna Sircilla","epi",4.7,1.7,47.3,5.7,1.6,56.7,8e-06
"Rajanna Sircilla","hrt",6.7,2.3,67.1,7.1,2.1,70.5,0.214107
"Rajanna Sircilla","jau",4.1,1.7,40.5,6.3,1.6,63.3,0
"Rajanna Sircilla","lscs",7.4,2,74.2,8,2.2,80,0.026967
"Rajanna Sircilla","sob",5.9,1.8,58.6,6.7,1.8,66.9,0.000182
"Rajanna Sircilla","tb",5.2,2.1,52,5.4,2,53.6,0.527831
"Rangareddy","epi",4.8,1.6,48.3,5.5,1.6,55.3,0
"Rangareddy","hrt",7.1,2.1,71.5,7.4,1.9,73.5,0.172133
"Rangareddy","jau",3.8,1.4,37.7,6.4,1.9,64,0
"Rangareddy","lscs",7.6,2.2,76.3,8.1,1.9,81.1,0.002176
"Rangareddy","sob",6.3,1.6,62.8,6.8,1.8,68.4,1.2e-05
"Rangareddy","tb",5.8,2.1,57.6,5.9,2,58.8,0.46666
"Sangareddy","epi",4.5,1.7,45.2,6.1,1.7,61.2,0
"Sangareddy","hrt",6.4,2.2,63.7,7.1,1.9,71.3,1e-06
"Sangareddy","jau",3.4,1.4,34.1,6.2,1.8,61.8,0
"Sangareddy","lscs",6.9,2.1,68.6,7.4,2,74,0.000595
"Sangareddy","sob",6.2,1.8,61.7,6.7,1.8,66.8,0.000309
