"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Karimnagar","epi",4.9,1.7,48.8,6,1.5,59.7,0
"Karimnagar","gdm",5.4,1.5,53.7,5.8,1.7,58.3,0.003432
"Karimnagar","hrt",7,2.1,70.5,7.3,2,72.6,0.258815
"Karimnagar","htn",7.5,1.7,75.4,8,1.8,79.5,0.010773
"Karimnagar","jau",4,1.7,39.8,6.8,1.6,67.8,0
"Karimnagar","lscs",7.2,2.3,71.7,7.7,1.9,76.6,0.010879
"Karimnagar","qanc",7.5,1.6,75,8.1,1.5,81.2,1.2e-05
"Karimnagar","sob",6.2,1.8,62.3,7,1.6,69.6,4e-06
"Karimnagar","tb",5,2,50.5,5.8,1.7,58.5,3e-06
"Khammam","ane",7.4,1.7,74,8.2,1.6,82.4,0
"Khammam","aph",7.2,1.7,72.3,8.7,1.4,86.7,0
"Khammam","gdm",5.6,1.8,56.5,7.9,1.6,79.1,0
"Khammam","htn",8.1,1.3,80.9,8.7,1.3,87.4,0
"Khammam","qanc",7.3,1.6,73.2,8.9,1.2,89,0
"Komaram Bheem Asifabad","ane",6.7,1.3,66.6,6.3,1.3,63.2,0.146031
"Komaram Bheem Asifabad","aph",6.4,2,63.9,6.8,1.9,67.9,0.456496
"Komaram Bheem Asifabad","epi",4.9,1.8,49,6,1.8,59.8,5e-06
"Komaram Bheem Asifabad","gdm",7.3,1.8,72.7,6.7,1.7,67.5,0.087762
"Komaram Bheem Asifabad","hrt",6.8,1.9,67.5,6.7,2.2,67.4,0.974696
"Komaram Bheem Asifabad","htn",8.1,1.1,81.2,7.9,1.3,79.4,0.453538
"Komaram Bheem Asifabad","jau",3.5,1.4,35.5,5.2,1.7,51.8,0
"Komaram Bheem Asifabad","lscs",7.1,2,71.4,7.8,2.3,78.3,0.012805
"Komaram Bheem Asifabad","qanc",6.9,1.5,69.4,7.2,1.3,72.3,0.167731
"Komaram Bheem Asifabad","sob",6.6,1.4,65.6,6.9,1.7,69,0.091525
"Komaram Bheem Asifabad","tb",4.6,1.8,45.9,5.3,2,53.1,0.00351
"Mahabubabad","ane",6.5,1.9,65.3,7.1,2.1,71.3,0.000648
"Mahabubabad","aph",6.8,2.1,68.5,7.7,2.2,77,9e-06
"Mahabubabad","epi",5,1.7,50.4,6.4,1.4,63.6,0
"Mahabubabad","gdm",4.9,1.6,48.6,6.2,1.7,61.8,0
"Mahabubabad","hrt",6.6,2.2,66,7.3,1.9,73.2,0.000145
"Mahabubabad","htn",6.8,1.8,68.2,7.6,2.1,75.5,6.1e-05
"Mahabubabad","jau",3.6,1.6,36.5,6.8,1.9,67.6,0
"Mahabubabad","lscs",7.1,2.3,71.2,7.9,1.9,78.8,7.1e-05
"Mahabubabad","qanc",7.1,1.8,70.5,7.7,1.7,77.4,3.6e-05
"Mahabubabad","sob",5.8,1.9,58.4,7,1.4,69.7,0
"Mahabubabad","tb",4.9,2,48.9,5.7,1.9,57.3,3e-06
"Mahabubnagar","ane",6.9,1.8,68.7,8,1.9,80.4,0
"Mahabubnagar","aph",7.3,2,73.5,8.8,1.6,88.1,0
"Mahabubnagar","epi",6.2,1.6,62.5,6.4,1.5,63.8,0.523614
"Mahabubnagar","gdm",4.9,1.4,48.7,8.1,1.9,80.8,0
"Mahabubnagar","hrt",7.4,1.6,74.2,7.7,1.6,77.3,0.160113
"Mahabubnagar","htn",7.5,1.7,75.2,8.5,1.6,85.4,0
"Mahabubnagar","jau",6.7,1.8,66.9,7,1.7,70.4,0.150507
"Mahabubnagar","lscs",7.8,1.6,77.9,8.3,1.6,82.9,0.023368
"Mahabubnagar","qanc",6.8,1.7,67.9,8.1,1.6,80.8,0
"Mahabubnagar","sob",6.6,1.5,65.8,6.9,1.4,69.4,0.070842
"Mahabubnagar","tb",6.1,1.7,60.8,6.1,1.6,61.4,0.808093
"Mancherial","ane",6.8,1.9,67.8,7.6,1.7,76.4,0
"Mancherial","aph",6.7,2.1,67.1,8,2,80.1,0
"Mancherial","epi",5,1.5,50.4,6.7,1.4,66.9,0
"Mancherial","gdm",5.1,1.3,50.5,6.7,1.6,67.4,0
"Mancherial","hrt",7.2,2,72,7.7,1.6,77.3,0.003736
"Mancherial","htn",7.2,1.6,72.3,7.9,1.5,79.3,2e-06
"Mancherial","jau",3.8,1.5,38.5,7.3,1.5,72.7,0
"Mancherial","lscs",7.7,1.9,77,8.3,1.7,82.8,0.001567
"Mancherial","qanc",7,1.7,69.9,8.3,1.3,83,0
"Mancherial","sob",6.4,1.5,64,7.1,1.3,71.1,1e-06
"Mancherial","tb",5.5,1.9,55.4,6.1,1.7,61.1,0.002168
"Medak","ane",6.8,1.8,68.4,7,1.8,69.8,0.50105
"Medak","aph",7.2,2,71.6,7.4,2,74.1,0.249251
"Medak","gdm",5.1,1.4,51.3,5.7,1.4,56.9,0.003037
"Medak","htn",6.9,1.8,69.1,7.2,1.9,72.1,0.131731
"Medak","qanc",7.4,1.4,74.4,7.7,1.4,77.2,0.04911
"Medchal Malkajgiri","ane",6.8,1.8,67.8,7.2,1.8,72.2,0.020847
"Medchal Malkajgiri","aph",6.7,1.7,67,7.4,2.2,74.4,0.000329
"Medchal Malkajgiri","epi",5.2,1.6,51.7,5.5,1.6,54.9,0.032505
"Medchal Malkajgiri","gdm",4.8,1.5,48.2,6,1.7,59.9,0
"Medchal Malkajgiri","hrt",6.9,2.1,69.4,7.5,1.9,74.6,0.005003
"Medchal Malkajgiri","htn",5.8,1.9,58.1,7.1,1.9,70.8,0
"Medchal Malkajgiri","jau",4.1,1.5,40.9,5.8,1.6,58.5,0
"Medchal Malkajgiri","lscs",7.5,2,75,7.9,2,78.7,0.043696
"Medchal Malkajgiri","qanc",6.6,1.8,65.6,7.5,1.5,75.4,0
"Medchal Malkajgiri","sob",6,1.6,60.5,6.5,1.6,64.7,0.002898
"Medchal Malkajgiri","tb",5.3,1.8,52.7,6,1.8,59.8,2e-05
"Mulugu","ane",6.3,2.2,63,6.3,2.1,63,1
"Mulugu","aph",5.7,2.9,57.2,6.5,2.4,64.9,0.206372
"Mulugu","epi",4.9,1.5,49.4,5.9,1.9,58.8,8e-05
"Mulugu","gdm",4.3,1.7,43.1,4.8,1.4,47.5,0.266362
"Mulugu","hrt",6.6,2.2,66.2,6.9,2,69.1,0.343121
"Mulugu","htn",6,2.2,59.6,6.6,2.1,65.5,0.07842
"Mulugu","jau",3.8,1.4,38,5.4,1.5,53.9,0
"Mulugu","lscs",8,2.1,79.5,7.9,2,79,0.878954
